Store Number,R,P,C
9851,8643625,2797970,5845655
11660,3391898,-4520972,7912870
11080,9474452,5773775,3700677
72978,5374435,-185894,5560329
11209,3655499,-831195,4486694
9784,8289158,358810,7930348
3447,2845755,-4202278,7048033
9785,3841918,3377928,463990
17002,2053075,468443,1584632
75490,7509019,858596,6650423
13680,5223851,1808546,3415305
75719,1189990,-4176179,5366169
14122,7308700,2195437,5113263
10605,9327982,1627390,7700592
11640,5717257,-2094980,7812237
16923,1599462,-6122247,7721709
11926,3065698,-6349232,9414930
8448,7462060,2748803,4713257
70058,6775896,5508459,1267437
8517,5197790,3236896,1960894
75827,8539486,-147622,8687108
11269,2778966,-830465,3609431
11059,1131103,-1668736,2799839
8540,6566363,3903201,2663162
11922,6674699,745019,5929680
76588,7885621,6551925,1333696
11058,3140059,-4386412,7526471
70320,7671617,3122893,4548724
14437,2080933,1758738,322195
76689,8011929,1810195,6201734
72867,7040660,3192112,3848548
8486,8782302,1962997,6819305
8374,5543931,-3142005,8685936
8222,6654602,-1574993,8229595
9798,4824727,4300180,524547
8696,7432108,-94089,7526197
8221,9360308,7464356,1895952
8148,8657107,-287346,8944453
79343,2544921,-1651889,4196810
9763,5411286,1986679,3424607
9839,3753719,-2381918,6135637
76466,8696881,2257389,6439492
8325,2055786,-3019527,5075313
11057,7560861,2891333,4669528
78069,3531452,-3104882,6636334
79361,5325387,2638090,2687297
8961,1108523,-653565,1762088
72920,2086482,-3028399,5114881
9994,4449017,-3829781,8278798
72449,4188509,-3373235,7561744
10474,8498441,794737,7703704
76802,4669233,-1086985,5756218
76845,5894594,-2633831,8528425
13504,8441266,3567481,4873785
8602,9322123,3515094,5807029
16318,8168857,1007615,7161242
76590,6234402,-2605617,8840019
17007,4913924,-3845562,8759486
13976,2793483,-1306502,4099985
11656,7239932,6089506,1150426
78077,4379028,-1731715,6110743
3048,6261463,-2247100,8508563
10564,5079031,-204817,5283848
70017,6636827,2416396,4220431
16485,1936722,-3495145,5431867
79375,6146251,5883781,262470
70021,7703670,7092958,610712
79699,6128813,2946031,3182782
9657,3494484,-1516826,5011310
8545,3840700,-5780566,9621266
9364,4086262,-900124,4986386
79397,2235807,657109,1578698
10158,6484152,-1965671,8449823
9840,2792298,-153279,2945577
8214,1583815,-4487745,6071560
8217,9286997,6915942,2371055
8589,2883727,-3339012,6222739
8459,6328910,-1085820,7414730
76282,2032793,-7477433,9510226
79500,2297067,-4526376,6823443
9789,6853154,6454918,398236
8272,6946479,899897,6046582
8462,6150538,-773468,6924006
11189,7209591,4231280,2978311
8218,4014964,-2094384,6109348
8373,9746913,8289827,1457086
75937,2007462,-3856423,5863885
72450,8640850,4167674,4473176
3452,9841556,8967187,874369
75203,2779512,-1204473,3983985
10306,7660104,7063622,596482
2813,6763281,-3229477,9992758
72525,5621638,-2006278,7627916
7144,8767191,255247,8511944
8850,1714526,-6655604,8370130
11795,1154243,-3976156,5130399
72961,3763252,-1149826,4913078
4177,9107206,6464859,2642347
76413,4627502,1554639,3072863
13456,6211760,3076242,3135518
10049,4053394,-3202638,7256032
72569,6887076,2595917,4291159
11067,4830676,-4231132,9061808
9464,5188724,-2943122,8131846
9363,3202324,-827507,4029831
76101,6459513,-301610,6761123
8765,1124359,-3285418,4409777
73916,8082339,6905100,1177239
73818,7620365,6286081,1334284
16134,9785794,5698874,4086920
13421,8361356,8173148,188208
9570,9110348,3264055,5846293
76716,5695152,-2164695,7859847
73878,9558109,4521165,5036944
11969,2459708,507394,1952314
73802,6970382,2279019,4691363
8285,5904189,1618106,4286083
72924,8083889,4043677,4040212
14112,3385825,-3897345,7283170
76149,6165662,313011,5852651
8453,6222821,-874741,7097562
10391,7871039,-537272,8408311
10968,9599108,2255166,7343942
79330,3646872,-4651764,8298636
10691,6044873,-3415987,9460860
9437,3989817,-2772868,6762685
10388,6999428,-75528,7074956
8234,9919437,1271959,8647478
9658,1014041,-4960598,5974639
78090,2190478,325255,1865223
76903,3820719,-364206,4184925
75190,7627146,2213425,5413721
79419,8422776,-927160,9349936
11214,8357436,399659,7957777
14515,2728779,-1632559,4361338
8460,7879728,329510,7550218
8393,6593459,3113025,3480434
8390,4690485,3134383,1556102
8208,5592583,3292854,2299729
75310,5011003,-2246241,7257244
76840,6748578,3357757,3390821
8211,6709844,5681070,1028774
11638,7712278,177529,7534749
8210,1529158,-620083,2149241
72361,6433865,-1940753,8374618
75659,3096161,1149505,1946656
75746,5706244,2059128,3647116
3488,1343588,-4120573,5464161
72362,7487458,-1350208,8837666
72402,3368112,-4810300,8178412
72400,9905361,4742563,5162798
8288,8308988,5881792,2427196
75852,2230445,-2984325,5214770
8240,8546072,1288404,7257668
2971,5444715,-759744,6204459
8216,3268027,-3578397,6846424
16138,3000480,-1821872,4822352
8563,7688258,4162850,3525408
8697,7246987,2158788,5088199
76150,7199268,809332,6389936
14981,6184163,3591329,2592834
10324,3372292,-4447849,7820141
76601,3374088,-579526,3953614
76552,2069540,1859998,209542
8351,3865540,-832459,4697999
8572,9398620,4927740,4470880
73786,8657955,810506,7847449
76129,2923349,-6644372,9567721
10035,6452122,-913835,7365957
11921,8678465,4823807,3854658
16408,2298753,-4131591,6430344
8500,5741835,-2009917,7751752
79297,1478877,-5547406,7026283
8554,2258913,-1801770,4060683
10389,9655506,1953479,7702027
76455,9997963,810414,9187549
11968,4854490,4715248,139242
13475,8136604,2609420,5527184
9362,3937883,-2940524,6878407
10241,3314746,767046,2547700
79359,7076588,4599150,2477438
15707,5157876,-2131029,7288905
76456,1177231,-3283411,4460642
73918,7395889,-1311659,8707548
76939,7960434,1394849,6565585
9499,5247571,338608,4908963
16622,4457780,171356,4286424
76255,9582468,9248437,334031
72999,9618921,8336458,1282463
72522,1373303,-5808705,7182008
10967,5946280,800518,5145762
13922,4063560,-1896928,5960488
79270,2137615,-5776130,7913745
73887,2883971,-4981876,7865847
11967,1529061,-3148248,4677309
14381,6544194,3701678,2842516
79379,2971841,-3204173,6176014
10387,3948935,-4367036,8315971
70010,8326926,4319605,4007321
78064,4945170,-3938816,8883986
9800,1043722,-4368933,5412655
76391,9001653,6308699,2692954
72864,9790577,2590633,7199944
10159,4737316,-1620893,6358209
9465,1083903,570591,513312
10390,1783593,-1913021,3696614
76589,3359701,312803,3046898
15952,7504496,2528694,4975802
14555,8965041,1540154,7424887
9838,6357951,-686505,7044456
76570,4667078,-1475113,6142191
76707,4168733,595347,3573386
13625,3428937,2287242,1141695
73885,8459822,-1477024,9936846
8962,7040896,5143221,1897675
16065,5642174,4603692,1038482
8582,7546346,2284625,5261721
72594,5867377,132136,5735241
13481,7426465,-2057412,9483877
3574,4466152,3661774,804378
73729,4805210,-1902734,6707944
76568,4745453,611602,4133851
9801,5191720,-1523481,6715201
11761,8359730,1318944,7040786
1541,2453197,-1292079,3745276
9279,9234785,291468,8943317
5024,3484232,-1009635,4493867
10469,1571596,-4948828,6520424
4185,6985492,708033,6277459
10876,1511768,-4511214,6022982
9727,5544383,5389304,155079
76292,6373259,2615725,3757534
10525,4041317,-1184312,5225629
73927,8916240,67334,8848906
4184,6195483,4412460,1783023
15941,3624955,-5013064,8638019
8803,5339437,-2831873,8171310
11425,1103863,-4136307,5240170
8595,4542217,-3441777,7983994
10523,4298752,-4009507,8308259
11377,6388131,5086333,1301798
79298,1475937,819700,656237
76409,5077526,3745548,1331978
72571,7187843,-841662,8029505
3921,3073793,-1885559,4959352
2862,1737872,-2784417,4522289
11420,7895140,321323,7573817
72992,1039638,-3415156,4454794
8585,2729766,-4145298,6875064
8598,3028274,1506715,1521559
79308,6312638,2563576,3749062
73930,4644240,2903013,1741227
3922,4638177,-3115257,7753434
10524,1414822,-7082334,8497156
11550,3985519,3813969,171550
75237,7141736,-426578,7568314
13864,7569813,4652870,2916943
76142,1775811,-2348834,4124645
79222,8944265,3229855,5714410
10468,8411218,3008489,5402729
3944,4631453,-4107460,8738913
10756,3895519,475080,3420439
8478,6583425,4136603,2446822
8518,1315003,-5456121,6771124
5061,5638651,-3832070,9470721
8544,3362491,-1361319,4723810
8487,6298116,1204693,5093423
79383,1820223,-7311377,9131600
3442,9147714,-130804,9278518
73895,5211147,2264449,2946698
75835,1682678,-7616820,9299498
76340,2889797,-2701076,5590873
10755,2020274,-624115,2644389
78018,5048754,-3755246,8804000
75591,4704359,500621,4203738
79229,3917004,1566369,2350635
75834,7097840,-2631005,9728845
73925,6926875,1101355,5825520
75441,1832319,-4582037,6414356
73873,7620779,5265807,2354972
13505,8759713,2881012,5878701
8555,2505629,97456,2408173
9926,4096978,383665,3713313
11820,3051045,-1978501,5029546
16889,7913122,6429559,1483563
3509,4436046,-1695627,6131673
11293,9795934,4809697,4986237
13152,2397358,425668,1971690
72549,1224081,-3286922,4511003
70025,7418794,458943,6959851
75119,8476922,43104,8433818
10173,2432653,2187459,245194
75695,8848912,70118,8778794
8536,1662942,-4939510,6602452
11655,7316538,6658425,658113
8578,6003564,-3009355,9012919
73972,3259759,-6041764,9301523
72657,3956209,-214059,4170268
76881,9201804,5564568,3637236
8590,2025093,-70998,2096091
72550,7747699,5420483,2327216
9780,3365642,-561195,3926837
13153,5876052,-955936,6831988
13151,1523251,-7167777,8691028
16458,7178841,2230676,4948165
11768,1838764,-7928365,9767129
17084,8989222,6599474,2389748
8883,8649910,1849745,6800165
79286,8581271,4841309,3739962
15983,6735608,2752192,3983416
16003,7703114,176672,7526442
11619,9358902,912838,8446064
72540,5076767,-3348448,8425215
79290,1275409,341208,934201
79403,4312615,-4033058,8345673
8761,2752607,-4472976,7225583
10211,6031266,2278100,3753166
79302,5514247,-1998001,7512248
11292,9288519,6246128,3042391
9584,3666633,-4862213,8528846
76291,4519336,-1615572,6134908
8573,2237568,1196692,1040876
9777,6533167,-337696,6870863
2917,5981383,-3588117,9569500
73712,7853966,-1565574,9419540
9847,6606852,5006944,1599908
13503,4518378,357785,4160593
76800,8488075,7429660,1058415
15730,4131802,3076268,1055534
11741,2926375,-5864428,8790803
79216,3168250,-2666653,5834903
11552,9052245,-727348,9779593
73904,4267423,-1777146,6044569
9556,2368115,1187193,1180922
11118,1647887,452665,1195222
76760,2121727,-2106409,4228136
76451,4450349,-5518322,9968671
79354,1459489,-3351684,4811173
10195,5426420,1371325,4055095
72551,5340231,1822849,3517382
11350,5181213,-2929680,8110893
10952,7690097,-918237,8608334
11551,3080812,-6676734,9757546
75351,7934228,6875610,1058618
13476,2296048,-5564301,7860349
11202,4619657,3338695,1280962
9124,6984403,6195917,788486
8408,2473116,-6017593,8490709
8398,7307206,4194225,3112981
79783,1589567,-6099412,7688979
8434,5127929,3722949,1404980
8237,7193141,652232,6540909
14120,7204883,1787074,5417809
79296,7062270,-833768,7896038
9098,1603582,-2891127,4494709
8381,8504427,4744727,3759700
8244,3021011,-3488676,6509687
8995,1813157,-6106634,7919791
73718,9044041,-114361,9158402
8405,1511489,-8026195,9537684
79483,5013757,-4428404,9442161
79214,2005909,-2458640,4464549
8292,8647734,3289214,5358520
79399,7759271,2823734,4935537
8409,2123436,-6165454,8288890
75565,1610126,-2060505,3670631
73751,2545305,2414461,130844
79332,7504643,5308784,2195859
8342,9457560,2863688,6593872
10237,1524373,228034,1296339
8327,9623525,4589216,5034309
72524,1789836,1204484,585352
72580,5909553,-2391620,8301173
11174,7558941,2394881,5164060
11257,5428386,-3684441,9112827
13435,4747574,-2586390,7333964
75355,3576436,-653989,4230425
79437,7963105,4909002,3054103
8359,7693751,3174932,4518819
14467,5283444,4741837,541607
76849,6178730,5831923,346807
8397,7329097,2070748,5258349
75844,1022928,-5311037,6333965
9896,3911768,238701,3673067
8429,2830001,-1566871,4396872
76271,4891393,2159008,2732385
79261,4984545,2458755,2525790
79279,4076670,-2953965,7030635
73891,5075222,4195955,879267
70032,8969001,-681766,9650767
79316,3115292,-4288921,7404213
8206,5310696,47875,5262821
70326,1110478,704366,406112
975,6560232,5223675,1336557
8473,3286397,-6559431,9845828
76311,2069018,-1478272,3547290
8340,1657623,-8236520,9894143
8331,8666811,7235505,1431306
8243,3177360,-1172039,4349399
16886,8392015,-301815,8693830
13611,8356839,3821924,4534915
17523,4715168,-2703673,7418841
14135,6020294,181694,5838600
78088,8794161,4375387,4418774
8358,2466132,-1854928,4321060
13751,5610006,-2624015,8234021
76684,8732258,446806,8285452
10066,7579592,5826374,1753218
8287,5524535,4446405,1078130
75871,7913757,3686221,4227536
8320,2658489,-5714079,8372568
8232,3835178,440774,3394404
75155,8780243,5937012,2843231
75536,5040235,-1942244,6982479
8209,3466473,-874144,4340617
8276,1473535,-4063147,5536682
9586,7163181,-1871628,9034809
75371,3582072,745057,2837015
75202,3072025,1997005,1075020
13318,8310722,97700,8213022
6156,1556254,-3207142,4763396
8310,5832062,-3855411,9687473
982,2774834,838626,1936208
75929,7705203,6603969,1101234
76828,8035662,6496622,1539040
8600,5371401,-1391570,6762971
976,7753670,-297242,8050912
8314,3655907,-580423,4236330
10903,7230300,267230,6963070
79259,1332060,-1557613,2889673
8412,3820979,444824,3376155
8492,7666516,7336844,329672
79255,3143121,-1548841,4691962
985,1569003,-2630623,4199626
984,6050278,-935646,6985924
70062,1410324,-4487842,5898166
10481,6724198,4832773,1891425
76228,7393602,5791461,1602141
8501,4732534,-1847762,6580296
76475,6106231,1992891,4113340
989,1527018,-3651110,5178128
72981,4376739,-4337099,8713838
978,4881799,1574111,3307688
987,9620999,6174798,3446201
8410,9032602,-604290,9636892
8512,6801816,166988,6634828
72340,3000566,-1003854,4004420
72338,8774570,-684768,9459338
72341,2086170,-4722100,6808270
15609,7063927,891028,6172899
75639,9978695,5969237,4009458
70308,2164295,317634,1846661
72342,5850750,-2075641,7926391
11788,8343977,6456771,1887206
75900,7446436,-2185554,9631990
11046,9684316,6962639,2721677
8382,3823198,-3619647,7442845
79415,1966250,-5040323,7006573
72629,4609864,-2427549,7037413
14431,9987756,6730385,3257371
8291,4559955,1047753,3512202
8371,7382708,3816001,3566707
8449,3675998,997794,2678204
79275,9331239,8975424,355815
8201,5639752,24935,5614817
70346,5386180,1507494,3878686
8215,5191362,3462091,1729271
11873,4404253,-3432788,7837041
76348,4481572,3373247,1108325
76972,8720034,5416217,3303817
76370,5630737,3062246,2568491
8760,6640864,-2702816,9343680
8225,4752638,454689,4297949
14494,2067019,203674,1863345
16652,1670692,1149492,521200
8260,9400339,3182065,6218274
76826,6961511,4900979,2060532
76686,5499858,-701545,6201403
10068,4860039,-509893,5369932
8202,3596002,1798235,1797767
8319,1825877,-5240463,7066340
76834,5032126,3402424,1629702
8207,5630032,860786,4769246
8451,4301414,3592385,709029
8413,4509213,3217251,1291962
8498,1310358,-5966700,7277058
8118,2398254,-11035,2409289
79394,4987972,3964238,1023734
979,8846883,2878364,5968519
79258,5058283,-1725297,6783580
8411,9825549,2278743,7546806
2876,7406134,-638123,8044257
11175,2699043,2097292,601751
980,5494405,3485201,2009204
2968,1975812,-3747704,5723516
8280,7995955,5497545,2498410
79299,2301801,-7021745,9323546
14879,5464603,4079768,1384835
10026,9786961,5627264,4159697
76272,9090093,1901068,7189025
8571,9715139,6546830,3168309
8318,3531868,2064418,1467450
9518,8628311,272179,8356132
8568,5456454,-863427,6319881
9981,3540396,-3664855,7205251
72679,4972993,-4397323,9370316
10267,8687550,4864103,3823447
13879,8405113,-1484601,9889714
72171,5401509,1697689,3703820
8469,6743412,-1946805,8690217
8203,6491769,11946,6479823
11488,1011011,780587,230424
73919,8617550,-173655,8791205
8508,6710117,5031677,1678440
13946,2538587,505657,2032930
10238,5552016,3143099,2408917
8378,5596899,772033,4824866
76909,9082737,8579896,502841
8231,1429612,-7410317,8839929
79436,6979510,5598435,1381075
76821,9595015,4648839,4946176
10445,5543889,-3056861,8600750
72556,6714798,5264302,1450496
76437,7992745,5167227,2825518
9830,1027773,-6518511,7546284
986,3704345,3460583,243762
988,8516151,-1263910,9780061
8577,3446115,-1311603,4757718
8293,7788019,5127373,2660646
76612,3396666,2985259,411407
8938,3031085,-5478395,8509480
10683,3736954,-5276209,9013163
13409,8759046,-1173072,9932118
11120,3573620,-2529271,6102891
79260,7236708,6683827,552881
15029,6381191,651130,5730061
8309,6253364,-2996216,9249580
9794,5710453,-2890010,8600463
13945,2794631,-2173620,4968251
3990,3816676,-5890908,9707584
8407,9108395,3865903,5242492
73733,8541141,-1458708,9999849
13994,8475238,3349066,5126172
72630,3690647,1752501,1938146
10555,2590318,-566458,3156776
79400,6622301,778324,5843977
9754,6135694,3551184,2584510
9703,4296846,2977998,1318848
8253,9350436,3688690,5661746
72665,2715057,-5112336,7827393
8530,8971492,2860914,6110578
15821,5378993,1154326,4224667
72542,7223804,5979972,1243832
3430,8020819,5121685,2899134
8575,8816366,4313134,4503232
8553,6125799,-2890722,9016521
13369,1133997,-3643113,4777110
72662,7000661,5778184,1222477
72891,3031126,969227,2061899
76595,3695602,-744942,4440544
76600,9808922,8426727,1382195
11045,2160366,-3632575,5792941
14285,9894604,7127918,2766686
8386,3205737,-788099,3993836
79293,5313151,-586550,5899701
14637,9441358,-542040,9983398
70345,2076672,-3984753,6061425
76885,7405996,1896190,5509806
73865,4089829,2888870,1200959
8591,2580744,-393803,2974547
73973,4297686,1596083,2701603
8569,8241751,4297159,3944592
79467,9852512,4303387,5549125
11871,7767942,5342308,2425634
15460,3686845,2996903,689942
13430,7427214,4819448,2607766
72552,9753433,7242575,2510858
11487,9223647,3613830,5609817
15954,8184726,2504797,5679929
14137,1057527,-2228924,3286451
8630,5322523,-3676732,8999255
10196,4804217,-3570132,8374349
79479,7448028,5514634,1933394
13407,6257888,4108669,2149219
11069,7357268,-1194923,8552191
2870,8078052,109632,7968420
11818,1870198,-1921775,3791973
75435,2544292,-5742494,8286786
75182,1299109,-3991279,5290388
75646,1032205,-2987818,4020023
9892,8944949,5491210,3453739
76462,8068204,3310838,4757366
76606,1742149,-5901374,7643523
9738,6814931,-1627607,8442538
13612,9897244,6172082,3725162
9544,3919352,3657014,262338
73822,4855054,238834,4616220
10730,4816779,-2175831,6992610
15822,5388824,-4478782,9867606
10067,7498568,-1120318,8618886
14564,3645251,-5356100,9001351
76396,1616164,-5361758,6977922
13431,8477257,-413772,8891029
78065,9830084,8092949,1737135
75326,2501996,-5107067,7609063
75436,7827188,6314498,1512690
79285,8287479,7785183,502296
79384,5735365,3802428,1932937
10574,7803174,3772464,4030710
2854,3453856,1804846,1649010
75219,5972660,-3393269,9365929
75188,8795776,3329050,5466726
9557,3527009,-2977918,6504927
70300,8632628,6535370,2097258
13242,2457181,-5608304,8065485
14136,9272844,5447209,3825635
76798,2328292,1829295,498997
16979,9823348,7591685,2231663
13288,3559884,-760835,4320719
13607,6791174,3764927,3026247
11481,8562849,847127,7715722
76599,9309239,2942757,6366482
10824,2398912,-3614215,6013127
70087,1997741,-3544371,5542112
70020,1301794,-566519,1868313
72334,5131336,4651053,480283
10502,8477704,-1382945,9860649
10501,2345534,-1352334,3697868
8537,8185217,1900044,6285173
13429,6736818,2841232,3895586
8467,6855929,5765182,1090747
8348,4232304,-3420811,7653115
8395,4977087,-1416637,6393724
8504,2446038,-3807778,6253816
9293,2478844,-7360858,9839702
76726,2339627,-2137772,4477399
8363,8644651,8232954,411697
76199,3748499,2753032,995467
2752,3824047,3243280,580767
9697,3056304,-5159522,8215826
72686,5755451,1200012,4555439
8468,1832163,-5695901,7528064
8399,6477831,3152236,3325595
11483,3503293,680791,2822502
75369,6000984,4665809,1335175
76309,6962109,2413437,4548672
8983,6861496,671986,6189510
9698,9610568,193600,9416968
8574,9044614,-610820,9655434
8365,7075593,2641807,4433786
76728,9028883,5141013,3887870
8789,5342376,2571683,2770693
8565,4679187,-4982115,9661302
76393,1976969,-6391932,8368901
8425,7508733,2566683,4942050
8686,2876924,-664309,3541233
9585,4099317,1704129,2395188
75728,7894041,2040980,5853061
8509,1352405,-3431759,4784164
13514,5443955,3223765,2220190
9460,7326560,1224820,6101740
8372,5592530,1460640,4131890
13645,9482133,4529112,4953021
11617,7419208,5069593,2349615
11996,4107599,683993,3423606
76310,8412141,3154646,5257495
13569,3886375,-3379074,7265449
9555,3734370,1684058,2050312
76153,1177729,-6022080,7199809
11414,2162423,-3464922,5627345
8552,4550119,-1731628,6281747
11348,3008542,-5381147,8389689
5096,6667003,4691432,1975571
75456,7469936,-1290922,8760858
8804,7464072,5907272,1556800
76742,8596906,6898282,1698624
8484,9569703,6538190,3031513
10728,4440168,4195677,244491
76873,4246911,-3267880,7514791
13943,2071200,1772524,298676
8330,3373174,-2325579,5698753
10357,7451450,-2459769,9911219
75390,4586432,-3703514,8289946
15132,9661777,-18382,9680159
75472,8832798,504065,8328733
75368,6853527,-1374236,8227763
10820,6704267,4544013,2160254
8584,5996829,5323006,673823
8355,2242118,-1434535,3676653
11394,5174764,2300529,2874235
8580,9471160,6526777,2944383
76336,2156007,-3071099,5227106
10590,3317564,2079563,1238001
8443,5411024,-526300,5937324
78092,4029461,-3279584,7309045
11997,6098124,352338,5745786
76513,7050687,5548780,1501907
8564,8451358,7004285,1447073
13516,4947355,-1899134,6846489
76108,2878733,-1853523,4732256
10063,9427331,3254631,6172700
76436,8147914,3538736,4609178
76218,4974234,4451237,522997
8949,5426522,-3354516,8781038
76488,3034698,967613,2067085
76227,2994751,742764,2251987
76308,2170081,-15420,2185501
76473,3631240,-922908,4554148
8264,4543691,-1637698,6181389
11037,8874308,4536000,4338308
8269,4702022,-842927,5544949
11956,3476511,214856,3261655
8475,6507421,-2180119,8687540
9907,4341093,934375,3406718
11387,1371819,-1297094,2668913
76464,9563539,6060837,3502702
9516,9898339,9779695,118644
2754,6936974,-2668723,9605697
10231,5836948,-2972636,8809584
76217,7706258,4785304,2920954
8279,6797068,5223979,1573089
8284,6093343,2356835,3736508
8343,5589698,2954006,2635692
72496,8679605,2323898,6355707
8586,3668242,-5731049,9399291
8597,6872670,3283455,3589215
8401,3403939,-2774333,6178272
10362,3224253,-701675,3925928
76399,4588838,-687724,5276562
76103,4553326,-4418511,8971837
11249,7217558,4108783,3108775
8627,9304867,1142985,8161882
9459,6884267,-42035,6926302
11400,1705381,-6715466,8420847
76819,4132243,-4687223,8819466
13877,7129431,1457346,5672085
8404,9327501,-35540,9363041
16059,3272318,2971422,300896
8337,5627328,-3150392,8777720
76945,1598266,-5832301,7430567
8375,9916590,1071246,8845344
8389,8358371,435501,7922870
8247,3047705,2779454,268251
76102,7969623,-1808400,9778023
11402,5435284,-2392050,7827334
72165,3551125,-4320957,7872082
11906,7718373,2304238,5414135
8556,6759113,667993,6091120
78029,1748228,-2937305,4685533
75812,9551708,4517809,5033899
75580,6171725,5489479,682246
13942,4240823,-2067089,6307912
9517,4280874,-883189,5164063
14254,9051234,2222621,6828613
8263,9693424,4134096,5559328
11706,5539693,4558485,981208
14133,7680399,5999584,1680815
9875,1882907,-1365742,3248649
75951,4754292,-46423,4800715
10192,3527965,1460115,2067850
13969,9792328,795436,8996892
8369,9966860,3346486,6620374
13643,7891154,-1839935,9731089
72466,1976885,-6912496,8889381
72466,9988922,4199910,5789012
76793,4159515,-1150932,5310447
75661,6889903,-2364962,9254865
72333,4020282,-4461968,8482250
70305,5538019,5342517,195502
72332,1824682,-4096824,5921506
11401,4960480,94870,4865610
75570,9634867,1030003,8604864
72643,8837913,4225639,4612274
8366,9219228,2243331,6975897
76950,8850160,7067825,1782335
75752,6129781,35855,6093926
11907,3676938,-5736520,9413458
2963,4898409,1711267,3187142
76247,4877724,-1456661,6334385
70344,9632980,6206183,3426797
13566,3006195,194645,2811550
11396,2429899,352270,2077629
76249,7628307,5499169,2129138
11039,9145043,7060253,2084790
76888,9803887,7101325,2702562
13971,9638350,8915983,722367
76369,9319937,4024204,5295733
3862,4355009,852774,3502235
13317,8404474,2194017,6210457
8732,9258835,9056892,201943
14611,6087072,1926645,4160427
75946,1203433,-7219277,8422710
11718,5320086,-4377246,9697332
76701,8264797,-1040147,9304944
75679,5759333,-2772854,8532187
75563,5312071,3216254,2095817
75511,3838730,-2571204,6409934
11250,2525275,-3873527,6398802
8558,7331742,2226808,5104934
76435,5063590,-4049761,9113351
10589,5448547,3679164,1769383
9906,5775013,5090864,684149
10503,4771673,-3809794,8581467
76540,4838075,2804718,2033357
72113,4997635,3984921,1012714
14328,2935786,-2105042,5040828
76804,4705143,-1693687,6398830
11615,6515914,821939,5693975
8542,7427548,-2094377,9521925
11043,9965900,3988094,5977806
3428,1995716,814961,1180755
75388,4078811,-822140,4900951
75399,8567663,4504375,4063288
13466,1293003,-1783449,3076452
70333,9719804,1860767,7859037
13876,9995134,9476099,519035
9971,9106020,7480767,1625253
76584,3574249,-5010438,8584687
10249,8166389,-622396,8788785
13211,7995083,5636072,2359011
11324,3499324,946967,2552357
9970,5554912,4929596,625316
11673,7599532,-995469,8595001
10538,6827292,-2435329,9262621
8581,7051822,6008958,1042864
10537,9602886,9262591,340295
8724,4403502,-2033481,6436983
72658,8171475,7188007,983468
11580,1722110,-4098022,5820132
11786,1982452,-3871839,5854291
76143,1737954,336627,1401327
9494,8090589,427766,7662823
11484,5807344,1301332,4506012
14075,2737831,-2843306,5581137
76214,1563582,-3804247,5367829
11398,9543257,3416237,6127020
11717,1037606,-519780,1557386
8807,3330169,-1198021,4528190
3864,2727649,-4257132,6984781
2853,1724781,-794892,2519673
9978,2414666,-3889960,6304626
11117,1698254,-6339252,8037506
76566,6872641,581563,6291078
10023,7047168,3229603,3817565
3427,4089917,-5060379,9150296
2965,5934060,-3315921,9249981
10064,5441675,4263160,1178515
11254,6286177,4033800,2252377
2912,7419761,2457075,4962686
76791,9135102,-67151,9202253
8864,9495427,3858969,5636458
76770,7914376,1766915,6147461
8867,4473519,244212,4229307
13610,4470441,-3166878,7637319
9876,3078527,1687229,1391298
13565,2392070,-1795778,4187848
8465,5547790,764651,4783139
10442,2122761,-1056679,3179440
13939,6502916,-3283915,9786831
9702,3836994,216242,3620752
9874,8924712,3736467,5188245
11040,3271988,-2959121,6231109
11485,6752645,-781310,7533955
9699,4809461,2991018,1818443
13238,9717513,6463075,3254438
76617,7680398,3683492,3996906
8446,9731095,7704640,2026455
10358,3497998,-1705113,5203111
8548,2184210,-3103515,5287725
11905,4238303,2660332,1577971
11749,9106955,-61941,9168896
8392,5481577,4832077,649500
76618,8703868,8344734,359134
10901,1026435,-2145852,3172287
8520,4268831,2976148,1292683
8227,4533582,-4680377,9213959
8267,1478271,-8294451,9772722
8470,1087014,-6565502,7652516
76359,9083403,-663796,9747199
8238,9901039,7684951,2216088
9394,4626534,-4157959,8784493
8273,3587943,-5579897,9167840
75443,5920812,5427680,493132
16954,4723036,2165356,2557680
8256,9455421,1716028,7739393
75245,6437373,6068153,369220
8296,9490567,8067333,1423234
8419,7411106,6561489,849617
11784,1470589,1155213,315376
2751,7611286,6631933,979353
8254,9118686,1486886,7631800
8228,7638770,4876023,2762747
10550,6691968,-2884685,9576653
13940,8098190,-637586,8735776
8306,7933137,4096258,3836879
13736,6448237,6110428,337809
72484,6936799,6286249,650550
72483,1996866,-3380973,5377839
75786,6220290,-1747383,7967673
75909,4923372,-3845074,8768446
75787,1987675,1076556,911119
70006,6638644,107969,6530675
9334,4337306,2988483,1348823
11715,7534732,1137956,6396776
75574,6034456,3084151,2950305
8506,2976518,-1897436,4873954
76833,9542490,224995,9317495
8499,6112901,-1472947,7585848
8294,5864934,4595045,1269889
75866,4555301,-4674159,9229460
8323,9395841,3045942,6349899
10549,7617237,7028127,589110
8868,3038503,534250,2504253
13824,3763639,1910157,1853482
76722,8073400,3253569,4819831
13642,6938775,5249711,1689064
8543,2234366,-1654128,3888494
75553,9459068,-69454,9528522
75904,1316880,-7545596,8862476
8242,3831904,-1159679,4991583
10869,3951666,-5273325,9224991
8647,3387978,2925370,462608
